UA;Nagorno-Karabakh: Turkey, Russia agree to set up joint ceasefire monitoring center;"Turkey will take part with Russia in the joint peace force that will be set up in the implementation, observation and inspection of the peace agreement.Turkey and Russia signed a memorandum of understanding on November 11 to set up in Azerbaijan a joint center to observe and inspect a peace agreement between Azerbaijan and Armenia, Turkish President Recep Tayyip Erdogan has said.He expressed hope for a similar outcome of an Ankara-Moscow cooperation for the ongoing conflict in Syria, Hurriyet Daily News reports.Turkey and Russia were in close contact in the last few days, with Erdogan and Russia's Vladimir Putin speaking over the phone two times since Sunday.The details of the center to be formed were discussed between the Turkish and Russian foreign and defense ministries.""Turkey will take part with Russia in the joint peace force that will be set up in the implementation, observation and inspection of the agreement. A memorandum of understanding for the formation of the Joint Turkish-Russian Center with the objective of the control and inspection of the ceasefire,"" Erdogan told his parliamentary group.Azerbaijan and Armenia have earlier agreed to end the six-week armed conflict with the mediation of Russia that stipulates the latter's withdrawal of its troops from Nagorno-Karabakh and return of these lands to Azerbaijan.Russia's defense ministry in its corresponding report had no mention of Turkish peacekeepers in the area.""Presence of Russian peacekeepers will ensure stability in the crisis region, stop flows of refugees and will facilitate their return to places of residencies,"" Russian Defense Minister Sergei Shoigu stressed, according to TASS.The report says the center will collect, summarize, and verify information about the implementation of the ceasefire by the parties and other actions that violate the agreements reached. It is also tasked with documenting violations via visual supervision, UAVs as well as assessing data from other sources. The center will become a body for considering any complaints, issues or problems regarding violation of the agreements reached.";A
DE;Erdogan praises Azerbaijan's 'glorious victory,' calls for regime change in Armenia;"Turkey's Recep Tayyip Erdogan has attended a large-scale military parade in Azerbaijan that celebrated its military victory over Armenia. On display were the Turkish drones that helped bolster Baku's forces.Turkish President Recep Tayyip Erdogan renewed his calls for a change of administration in Armenia as he celebrated Azerbaijan's military victory against the country.Erdogan attended a military parade in Baku that saluted Azerbaijan's victory in the Nagorno-Karabakh conflict, that claimed more than 5,000 lives.He called for new leadership in Armenia, and said that it could join a regional cooperation with Azerbaijan if it took certain steps. He also raised the possibility of reopening the border between Turkey and Armenia.Turkey provided critical diplomatic and military backing to Azerbaijan in the conflict over the Armenian-majority enclave, reportedly including redeploying Turkish mercenaries from Syria to bolster Baku's army.Under a Moscow-backed agreement, Armenia ceded control over some of the areas it lost during the fighting as well as seven adjacent districts it seized during a war in the 1990s. De jure, Nagorno-Karabakh is Azerbaijani territory, but the enclave had been controlled by Armenia since the 1990s conflict.""We wish for the Armenian people to rid itself of the burden of leaders who console them with the lies of the past and trap them into poverty,"" Erdogan said in Baku on Thursday.";A
TR;Turkey sends 36 military officers to man Russian-Turkish monitoring centre in Karabakh;Turkish army personnel assigned to the Russian-Turkish joint truce monitoring centre in the disputed Nagorno-Karabakh region have left Turkey, Turkish Defence Minister Hulusi Akar said on Tuesday. “Our one general and 35 military officers will start their duty immediately,” state-run Anadolu agency cited Akar as saying at a year’s end meeting over video conference, once the construction is complete. Turkey and Russia agreed to establish a joint monitoring centre in Nagorno-Karabakh after Nov. 10 when Russia brokered a ceasefire between Azerbaijan and Armenia over the disputed region that is internationally recognised as part of Azerbaijan, but was governed by an ethnic Armenian majority. Conflict broke out in the region on Sept. 27, with both sides accusing each other of kick-starting one of the bloodiest bouts of clashes since the fall of the Soviet Union. Azerbaijan, with extensive support from Turkey, took over several territories formerly under Armenian control before the ceasefire was put in place. Earlier in the month, Azeri President Ilham Aliyev said the Turkish-Russian joint monitoring centre would be established in the city of Aghdam in Azerbaijan. In November, Turkey approved the deployment of troops on a peacekeeping mission in the region for one year. Some 2,000 troops will be sent to the region as part of the mission. Ankara and Baku pushed for the monitoring centre to be established in Nagorno-Karabakh, but the centre is set to remain on Azeri soil. On Nov. 25, Turkish and Russian Presidents Recep Tayyip Erdoğan and Vladimir Putin signed a memorandum for the establishment of the centre.;A
UK;Turkey president says Armenia’s ‘occupation’ in disputed Nagorno-Karabakh is ending;"Turkish president Recep Tayyip Erdogan has said that Armenia’s 28-year rule over Nagorno Karabakh is ending, following a ceasefire in the disputed territory on Tuesday. Mr Erdogan made the comments during a speech to Turkey’s parliament on Wednesday, the day after Russian peacekeepers were sent to the enclave after the conclusion of a six-week war between Armenian and Azeri forces. Fierce fighting broke between the two countries at the end of September over Nagorno Karabakh, with Turkey providing military assistance to Azerbaijan. In the intervening weeks, Azeri troops reclaimed swathes of the region - including the prized city of Shusha - that it had lost to Armenia in a war almost three decades ago. Now that hostilities between Yerevan and Baku have ceased, Turkey and Russia will jointly monitor the ceasefire in the territory, according to Mr Erdogan. The Turkish president’s words about the end of Armenia’s “occupation” on Wednesday echoed those made by his foreign minister Mevlut Cavusoglu at a press conference the previous day. Mr Cavusoglu hailed the ceasefire deal as a “great success and victory for Azerbaijan”, adding that that lands “under occupation for 30 years are being liberated”.  Ilham Aliyev, the president of Azerbaijan, marked the occasion by tweeting that the signing of the deal was “a historic day”.  “An end is being put to the Armenia-Azerbaijan Nagorno-Karabakh conflict. For our people, these days are the happiest ones. And I am also happy to deliver this pleasant news to my people,"" he added.  While Azeris celebrated, thousands of people in Armenia on Wednesday demanded the resignation of their prime minister Nikol Pashinyan, who came to power in 2018 in a popular uprising. Some of them, including a leading opposition figure, were arrested.  This comes the day after some Armenian protesters stormed the county’s parliament to protest against the ceasefire deal.  Earlier this week, Mr Pashinyan wrote on Facebook that the decision to sign the agreement was “hard” and “painful” but was based on military considerations and expert advice.  On Tuesday, he admitted that the result of the conflict was a “big failure and disaster” for his country. Although an exact death toll is not known, Russia estimated in October that almost 5,000 people had died as a result of fighting over Nagorno Karabakh, including nearly 150 civilians on both sides.  While Azerbaijan has not released casualty figures, Armenia has said that more than 1,220 of its military personnel have been killed.  Before the most recently fighting, Nagorno Karabakh, which is internationally recognised as part of Azerbaijan, was fully controlled by ethnic Armenians.  As part of the ceasefire, Azerbaijan will keep the territory it gained, while Armenia while have to cede control of some other areas by 1 December. Almost 2,000 servicemen will be deployed to Nagorno Karabakh for peacekeeping operations, Russia’s defence ministry said.";A
UK;Two men beheaded in videos from Nagorno-Karabakh war identified;Two elderly men who were beheaded by Azerbaijani forces in videos widely shared on messaging apps have been identified, confirming two of the bloodiest atrocities of the recent war in Nagorno-Karabakh.The ethnic Armenian men were non-combatants, people in their respective villages said. Both were beheaded by men in the uniforms of the Azerbaijani armed forces. The short, gruesome videos of the killings are among the worst of a torrent of footage portraying abuse, torture and murder that has continued to emerge more than a month after a Russian-brokered ceasefire came into force. The villagers’ testimony in interviews with the Guardian corroborates identifications by a human rights ombudsman for the Armenian-backed local government and two prominent Armenian human rights lawyers preparing a criminal case relating to the murders.The Guardian also confirmed one of the victim’s identities with a relative, and reviewed a passport application photograph that strongly resembles the other victim. In videos posted online on 22 November and 3 December, men in uniforms consistent with those of the Azerbaijani military hold down and decapitate a man using a knife. One then places the severed head on a dead animal. “This is how we get revenge – by cutting off heads,” a voice says off camera. Two residents of the village of Madatashen, in Nagorno-Karabakh, identified the victim as Genadi Petrosyan, 69, who had moved to the village in the late 1980s from the city of Sumgait, in Azerbaijan.Gayane Petrosyan (no relation), the head of the local school, lived directly across from Petrosyan’s modest, two-room house. She said his father had helped install the village’s electrical system, and he had shown her pictures of a son who had moved to Russia with his ex-wife. She said of one of the videos: “I could clearly see his face and I could recognise that it was him.” The Guardian has also seen a photograph of Petrosyan that closely resembles the victim in the video. Genadi Petrosyan, who lived alone, resisted leaving the village as Azerbaijani forces closed in. When a neighbour tried to drive him away, he got out of the car and walked home. Eduard Hayrapetyan, the village head, said he had known Petrosyan for more than three decades and considered him a close friend of his family’s. He received his last call from Petrosyan on the morning of 28 October, to say he had seen enemy forces in the village. Then, after weeks of silence, the video emerged. “I feel great sorrow that I took him away from the village and then he came back and this happened,” Hayrapetyan said. “I just can’t find my place.” Artak Beglaryan, a human rights ombudsman for the local Armenian-backed government, said Petrosyan had been identified by combing 35 missing persons reports for the region and then contacting acquaintances, who confirmed his identity. He called for greater efforts by the international community to investigate war crimes from the conflict. “Western countries have kept silent and they haven’t taken practical steps,” he said. “They have the duties and levers to speak about this … we don’t see any results, we don’t see any process from them.” Siranush Sahakyan, a human rights lawyer, also confirmed Petrosyan’s identity and said she and a colleague, Artak Zeynalyan, had prepared a criminal investigation into the murder. “Emotionally, it is hard to watch the videos. From a professional perspective, it can be very useful evidence,” Sahakyan said, cautioning that they had to carefully vet videos to make sure they were not faked. Amnesty International has called on Armenia and Azerbaijan to investigate videos of the decapitations and desecrations of corpses. The organisation has used digital verification techniques to authenticate the footage reviewed in this article, as well as footage of the murder of an Azerbaijani border guard who had his throat cut. Other videos show soldiers desecrating the bodies of enemy fighters. While both sides have been implicated, online channels are increasingly dominated by videos of Armenian soldiers and civilians being abused by advancing Azerbaijani troops. New revelations of torture and abuse mean that for many the violence continues even long after the war was halted. “Armenians and Azerbaijanis are watching those videos day in and day out, and every day there is a new video which is sending a new wave of assault on the public and public sensibilities,” said Tanya Lokshina, a researcher for Human Rights Watch, which prepared a painstaking report on abuses against Armenian prisoners of war, released early this month. “That trauma also results in increased levels of hatred. Even now when the active stage of the fighting is over.” Some of the most gruesome and widely watched videos have also been some of the most difficult to confirm. A video posted on a Telegram channel on 7 December showed two soldiers in uniforms consistent with the Azerbaijani military pinning down an elderly man near a tree. Another soldier passes a knife to one of the attackers, who begins slicing at the victim’s neck. The victim’s head begins to separate from the neck before the video ends. Three residents of the village of Azokh identified the victim in this video as Yuri Asryan, a reclusive 82-year-old who had refused to leave the village on 20 October as Azerbaijani forces approached. “He didn’t communicate with others very much. He just refused to leave,” said Georgi Avesyan, the longtime head of the village until 2019 and one of the people who identified Asryan. He said it was possible Asryan did not fully understand what was happening. Azerbaijani forces entered the village days later and it has remained under Baku’s control under the ceasefire agreement signed on 9 November. There was no news of Asryan’s fate until a 29-second video appeared last week on social networks, including Telegram channels that traffic in gory footage from the conflict. Araik Azumanyan, the current head of the village, said: “I received calls from many people from the village, and even people who had moved from the village to Armenia many years ago saying it looked like [Asryan] in the video.” A third villager who recognised Asryan said: “I felt terrible after watching it, my blood pressure was high, I couldn’t compose myself for a week after seeing that.” Beglaryan, the human rights ombudsman, and Sahakyan, the human rights lawyer, also confirmed Asryan’s identity. His closest relative, an elderly sister who occasionally visited him, knows that Asryan has died but has not seen the video. Asryan’s niece also confirmed to the Guardian that it was him in the video. Azerbaijan’s general prosecutor last month publicly launched an investigation into war crimes by both Baku and Yerevan. On Monday it made its first arrests, detaining two Azerbaijani soldiers for defiling the bodies of dead Armenian troops and two for destroying graves. It has not publicly opened any criminal cases into beheadings. There are hundreds more videos of abuses online. Sahakyan said she and a colleague were pursuing 75 cases of captive Armenian soldiers and civilians in the European court of human rights, including 35 that included video evidence. On Monday evening, the two government conducted a mass prisoner exchange, media in both countries reported. In one video, a villager named Kamo Manasyan is kicked and beaten as blood streams from his right eye. “How many more of you are here,” his interrogator yells in heavily accented Russian, aiming a rifle at Manasyan’s head. “Shoot me if you want,” Manasyan replies. The man hits him with the rifle instead. “It was hard to watch this video with this cruelty,” said Gagik, his nephew, in a video call. “I think they just want to show their success in this war and to humiliate Armenians, to show that they won.” Manasyan’s sister, Nora, cannot bear to watch the video. “I want the prisoners of war to come back as soon as possible,” she said, crying. “I want peace.” Asked for comment on allegations of human rights abuses during the war, a spokesman for the Council of Europe’s Commissioner on Human Rights said: “At this stage we can only say that the Commissioner has received videos and other material alleging human rights violations. Before expressing herself publicly, she wants to carry out a mission in order to assess the situation in first person. She is planning a mission to the region soon.”;E
HU;UN chief extremely concerned over Nagorno-Karabakh conflict;Two religious organisations representing Hungary’s main churches have called for a peaceful resolution to the armed conflict in Nagorno-Karabakh. The Hungarian Catholic Bishops’ Conference and the Ecumenical Council of Hungarian Churches issued a joint statement on Friday saying that they learnt with regret that on October 8 Azeri forces had“We share the pain of our Armenian Christian brothers,” they said, adding that the attack could seriously contribute to the escalation of the armed conflict appearing to be more of a religious ethnic conflict.asking them to make every possible effort towards preventing any further destruction, ending the armed fight and working out a peaceful resolution to the conflict. According to press reports, the historical cathedral, a national symbol of Armenia, was shelled on Thursday.;E
UK;Nagorno-Karabakh: Villagers burn their homes ahead of peace deal;Villagers outside Nagorno-Karabakh set their homes on fire Saturday before fleeing to Armenia ahead of a weekend deadline that will see some disputed territory handed over to Azerbaijan as part of a peace agreement. Residents of the Kalbajar district in Azerbaijan, which has been controlled by Armenian separatists for decades, began a mass exodus this week after it was announced that Azerbaijan would regain control on Sunday. Fighting between the separatists backed by Armenian troops and the Azerbaijan army erupted over the breakaway Nagorno-Karabakh region in late September and raged for six weeks. Armenia said Saturday that 2,317 of its fighters were killed in the clashes, an increase of nearly 1,000 deaths from its previous official toll. Azerbaijan has not revealed its military casualties. But the Russian president Vladimir Putin said on Friday the number killed in the conflict was higher than 4,000 and that tens of thousands of people had been forced to flee their homes. In the Kalbajar village of Charektar, on the border with the district of Martakert which will remain under Armenian control, at least six houses were on fire on Saturday morning, with thick plumes of smoke rising over the valley, according to an AFP journalist. “This is my house, I can’t leave it to the Turks,” as Azerbaijanis are often called by Armenians, one resident said as he threw burning wooden planks and rags soaked in gasoline into an empty house. “Everybody is going to burn down their house today ... we were given until midnight to leave,” he said. “We also moved our parents’ graves, the Azerbaijanis will take great pleasure in desecrating our graves. It’s unbearable.” On Friday at least 10 houses were burned in and around Charektar. Kalbajar was almost exclusively populated by ethnic Azerbaijanis before they were expelled by Armenians in a 1990s war between the two countries following the break up of the Soviet Union, and a majority of the homes being burned previously belonged to Azerbaijanis. Armenia’s government controversially subsidised the region’s settlement by ethnic Armenians. The ex-Soviet rivals agreed to end hostilities earlier this week after previous efforts by Russia, France and the United States to get a ceasefire fell through. A key part of the peace deal includes Armenia returning Kalbajar and the Aghdam district by 20 November, as well as the Lachin district by 1 December, all of which have been held by Armenians since the devastating 1990s war left 30,000 people dead. After weeks of intense fighting, the two sides will maintain positions in the territories they currently hold – a significant gain for Azerbaijan, which has reclaimed around 15 to 20% of its lost territory including the key town of Shusha. Russian peacekeepers began deploying to Nagorno-Karabakh on Wednesday as part of the terms of the accord and took control of a key transport artery connecting Armenia to the disputed territory. Russian military officials said the mission consisting of nearly 2,000 troops would put in place 16 observation posts in mountainous Nagorno-Karabakh and along the Lachin corridor. The Azerbaijani president Ilham Aliyev has accused Armenians of destroying “99% of the liberated territory” including hospitals, houses and monuments, adding that he wants Armenia to pay compensation. Meanwhile in Armenia, anger has been mounting over the prime minister Nikol Pashinyan’s decision to cede swathes of territory. The former head of Armenia’s national security service, Artur Vanetsyan, was arrested on Saturday on charges of plotting to kill Pashinyan and seize power. Vanetsyan’s lawyers described the arrest as a “shameful persecution of opponents”. Thousands of people converged on the streets of the capital Yerevan in demonstrations this week, while protesters stormed and ransacked government buildings, demanding Pashinyan’s resignation. On Saturday, crowds gathered on Yerevan’s Liberty Square, where they lit candles in memory of soldiers killed in the fighting. They then marched silently through the streets towards the Matenadaran museum of ancient manuscripts where priests held a requiem service.;E
IT;Note of the Ministry of Foreign Affairs - Clashes along the line of contact Armenia-Azerbaijan;We express concern over reports of serious clashes along the line of contact between the Azerbaijani and Armenian armed forces.Italy calls on the parties to stop the violence immediately and to make every effort to prevent the risks of further escalation, particularly under the auspices of the OSCE.;N
TR;Statement of the Spokesperson of the Ministry of Foreign Affairs, Mr. Hami Aksoy, in Response to a Question Regarding the Armenian Attacks on Azerbaijan Which Started This Morning;We learnt that Armenian Armed Forces launched an intense shelling with heavy arms on Azerbaijani army, in Kapanlı village of Tartar district, Çıraklı and Ortakerbent villages of Aghdam district, Alhanlı and Şükürbeyli villages of Aghdam district and Çocukmercanlı village of Cebrayıl district in violation of the ceasefire along the contact line.We strongly condemn the Armenian attacks which constitute a clear violation of international law and caused civilian casualties. With these attacks, Armenia once again displayed that it is the biggest obstacle to peace and stability in the region.Azerbaijan will surely use its right of self defence to protect its people and its territorial integrity. In this vein, Turkey fully supports Azerbaijan with unwavering solidarity. We will stand by Azerbaijan whichever way it prefers.We call on the international community also to stand by the righteous party.Hereby, we wish Allah’s mercy upon Azerbaijani martyrs who lost their lives, wish a speedy recovery to the wounded and convey our condolences to the brotherly Azerbaijan.;A
TR;Press Release Regarding the Armenian Attack on Azerbaijan;We strongly condemn the attack of the Armenian armed forces on Tovuz region of Azerbaijan. We convey our condolences to the friendly and brotherly Azerbaijani people and Government for the Azerbaijani martyrs who lost their lives, and wish speedy recovery to the wounded.The fact that this attack which is yet another manifestation of Armenia's aggressive nationalism, has been repelled by Azerbaijan, is a concrete indication that aggression will not be left unanswered.These attempts, which Armenia has made to distract the attention of the international community from its continued illegal occupation of Azerbaijani territory Nagorno Karabakh and its surrounding regions for many years and to add new dimensions to the conflict for blocking the political settlement, are bound to fail.The Armenian side should give up on such dangerous tactics and choose the path of reason and law. Embarking on adventurism for aspirations beyond its own capacity reveals Armenia’s failure of judgement and constitutes the biggest obstacle to peace and stability in our region.We hope that Armenia’s effort to cover up its own aggression will not be accepted by the international community in any way.Turkey will continue, with all its capacity, to stand by Azerbaijan in its struggle to protect its territorial integrity.;A
TR;Press Release Regarding Armenia’s Attacks on Terter City of Azerbaijan;We strongly condemn the continuing attacks of Armenia on civilian settlements in Azerbaijan. As a result of Armenia’s latest attack on Terter today, three civilians lost their lives and five others were wounded while they were attending a funeral ceremony.Armenia continues to disregard the humanitarian ceasefire declared on 10 October for the exchange of prisoners of war and bodies of the dead. Showing no traits of humanity, Armenia does not even let our Azerbaijani brothers lay their beloveds to rest.With this latest attack, Armenia once again demonstrated to the whole world its total disrespect for humanitarian values and laws.Turkey stands with brotherly Azerbaijan in full and eternal solidarity.;A
UK;What and where is Nagorno-Karabakh? The Armenia-Azerbaijan conflict explained;What and where is Nagorno-Karabakh? Nagorno-Karabakh is a disputed, Armenian-controlled breakaway region inside internationally recognised Azerbaijan. The two former Soviet states have been locked in conflict over the territory for the last four decades. A bloody war in the early 1990s saw an estimated 20,000 people killed, and a million displaced. It was ended by an uneasy ceasefire in 1994, which was never followed by a truce.   What are the origins of the conflict? The modern conflict dates back to Armenian nationalist movements in the Soviet Union during the early 1980s. However, the key date is February 1988, when the ethnic Armenian majority in Nagorno-Karabakh requested that the territory be transferred from Soviet Azerbaijan to Soviet Armenia. With the USSR crumbling around him, Mikhail Gorbachev was unable to stop a process that eventually led to a disputed independence referendum, territorial claims, and full-scale war.   Who backs whom? The separatist Nagorno-Karabakh government is backed by Armenia. As a member of Moscow’s Collective Security Treaty Organisation (CSTO), Armenia enjoys the formal military backing of Russia, but that does not extend to the disputed territories. Russia, meanwhile, has shown no desire to choose a side — and has even supplied arms to both. In terms of the other neighbouring regional powers, Iran is officially neutral, but Turkey is providing weapons and, reportedly, mercenary soldiers to its ally Azerbaijan.  Why are things worse this time? The fighting, which started on Sunday morning, is the most serious since the ceasefire agreement was signed in 1994. Both sides have employed heavy weapons systems and aviation in and around civilian populations. The death toll is almost certainly higher than the 200 that was recorded during the last major flare-up in 2016. But the biggest new worry is the immediate international context. The United States, preoccupied by November's presidential elections, is conspicuous by its absence. Russia has shown little desire to intervene on behalf of either side. Only Turkey is playing an active role – and in a belligerent capacity.   What could happen? There are several possible outcomes, but none includes an immediate ceasefire or peace agreement. It is hard to see how either side would renounce their claims to territory in Nagorno-Karabakh. Both Armenia and Azerbaijan see the region as theirs – a source of historical identity and security – and the memories of war atrocities run deep. Yet there is no obvious prospect of military victory for either side. The richer Azerbaijan has a better-equipped army, supplemented with new drone hardware from Israel and Turkey. Armenian forces are considered to be better organised, however, with the advantage of defensive positions. A good prognosis would see battles focused on small pockets of land and ended within a week;N
ES;Upper Karabakh, a conflict of more than 30 years that threatens to escalate into a regional war;"When he saw the extent of the attacks against Stepanakert and other areas of Upper Karabakh, Hovig Asmaryan decided to send his three children to spend time with their relatives in Yerevan. Asmaryan, an ethnic Armenian Syrian from Aleppo, arrived in Upper Karabakh in late 2012, fleeing the war in Syria. In the mountainous enclave, on soil internationally recognized as Azerbaijani but controlled by Armenia, he bought a farm and recently opened a Syrian and Mediterranean restaurant. It was not bad for him, account by video call from Stepanakert. The region, ravaged in the Yerevan-Baku war for control of the enclave in the early 1990s, had been revitalized and modernized thanks, in large part, to donations from the large Armenian diaspora. Today, the scars of the conflict are once again visible on the buildings and streets of the region, and Asmaryan, 50, is experiencing another war.The Upper Karabakh - or Nagorno Karabakh - in the South Caucasus, with 150,000 inhabitants (the vast majority of Armenian ethnicity) and which has claims of self-determination, has experienced the most serious clashes between Armenia and Azerbaijan since 1994, the date on which a ceasefire was signed and has been continuously broken. A war now open in a heavily militarized region that can lead to a spiral that fully involves regional powers: Russia, due to its influence in the region and its defense agreement with Armenia, and Turkey, with an increasingly expansive appetite and imperialism, which supports Azerbaijan and is testing Moscow's influence in the South Caucasus.The recent clashes between the two former Soviet republics, the latest chapter in a latent conflict lasting three decades, are of increasing concern to the international community. War may further destabilize an area that acts as an important energy corridor for global markets: very close to the front line is a gas pipeline opened last year that runs through Turkey, aimed at easing Europe's dependence on imports. of Russian gas.On Saturday, after more than 10 hours of negotiation sponsored by Moscow, Armenia and Azerbaijan, they announced a ceasefire aimed at exchanging prisoners and recovering the dead, under the mediation of the Red Cross. A truce that, however, has already been broken a dozen times. Yerevan and Baku accuse each other of attacks against civilians. Armenia reports 20 civilians and 525 soldiers killed. Azerbaijan, which has not disclosed its military casualties, claims that more than 41 civilians have been killed and 205 injured since the start of hostilities on September 27.Lika Zakaryan says that since practically since then she has lived in a small bomb shelter with three other people in Stepanakert. ""My house was hit by one of the attacks and we no longer have electricity or gas there and the living room is missing a wall,"" says the 26-year-old, who was born in Upper Karabakh after the war in the early 1990s. lasted six years. Zakaryan, who studied Sociology but who in recent months worked for an information website about the region, explains on Skype that her 24-year-old brother, her boyfriend and a good number of his friends are at the front.Despite the ceasefire and as talks on how to develop it continue in Moscow, the leader of the region, Arayik Harutyunyan, has announced that he is meeting with veterans of the war of the n + oventa so that they also get involved in the battle. ""The situation is fatal,"" he wrote on Facebook. The authorities in Upper Karabakh accuse Azerbaijan of initiating the confrontation and attacking civilian targets. ""Azerbaijan has deliberately attacked more than 120 civilian settlements,"" insists local politician David Babayan from his office in Stepanakert by video call. In addition to residential buildings, Babayan talks about bridges, water and electricity installations, and also communications. On Thursday, two attacks destroyed much of Shusha Cathedral and seriously wounded three Russian informants.Baku denies it and accuses Armenia of attacking a residential area in Ganja, the country's second city, after the signing of the ceasefire and at dawn. Azerbaijani authorities have reported nine civilians killed and 34 injured, according to a note from the Foreign Ministry. Media on the ground in Ganja, such as France 24 or the BBC, have broadcast images of the enormous damage caused in the area by what Baku identifies as a ballistic missile. ""If Armenia continues to attack civilian targets, Azerbaijan will be forced to take necessary measures against military targets,"" said presidential adviser Hikmey Hajiyev.Lawyer Tatev Asaryan was born in Upper Karabakh the day after the signing of the 1994 ceasefire between Baku and Yerevan, after the war that caused some 30,000 deaths and thousands of displaced people and for which a peace agreement was never signed. Through a precarious Internet connection and from one of the Stepanakert shelters, he assures that, despite the fact that normal life has practically stopped, families are making an effort so that children follow their classes in one way or another.The Red Cross, which has provided emergency medical supplies to hospitals and body bags to the Nagorno Karabakh forensic office, as explained in a note, also warns of the spread of the covid-19 pandemic among a refugee population in bunkers and with worse access to health facilities. Also of the arrival of the cold, says the head of human rights of Upper Karabakh, Artak Beglaryan. ""50% of the population have had to leave their homes, some to shelters within the region, others to Armenia,"" Beglaryan said by phone from Stepanakert. Like Yana Avanesyan, who left Upper Karabakh when an artillery attack hit her sister's house. ""It was not safe and we decided that it was better to go out to Yerevan than to stay in a shelter,"" says Avanesyan, a law professor at Stepanakert University who specializes in humanitarian law, by video call. She does not know when she will return.The latent confrontation for the mountainous enclave that several UN resolutions recognize as part of Azerbaijan began before Avanesyan was born, which has not yet reached thirty, and is the result of the conflicts inherited from the former USSR and its collapse, which combine territorial and ethnic tensions in a tumultuous South Caucasus. But this latest outburst is different. Not only because it comes at a time when both Armenia and Azerbaijan have much more sophisticated weapons, points out the expert in the area Thomas de Waal, who also highlights the intense information war on television and social networks: also because of the involvement of Turkey, which has offered its most direct support to its ally Azerbaijan in an area of ​​traditionally Russian influence, which adds another new and complex component. All of this increases the risk of the local conflict becoming regional. The one in Upper Karabakh would join the conflict in Libya and Syria, where Ankara and Moscow support rival sides.Armenia has a defense agreement with Russia, which supplies arms to Yerevan but also to Baku, which has also invested a large part of the money earned with oil in buying defense material also from other suppliers, such as Israeli and Turkish drones that, according to Russian military expert Pavel Felgenhauer, are giving you a comparative advantage. In addition, different reports from Armenian, French and Russian intelligence as well as the Syrian Observatory for Human Rights indicate that dozens of Syrian mercenaries have come to the front to fight for Azerbaijan but financed with Turkish money. Turkey denies it.Ankara's intervention and Baku's requests to participate in the negotiating table deeply scare Armenia and stimulate the memory of the persecution of Armenians by the Ottoman government in which more than 1.5 million died. A massacre recognized as genocide by a good number of countries. “It is very difficult to find a common language with the Turks, this is what history has taught us. But we are prepared to resist and fight to protect our people, ”remarks farmer and restaurateur Hovig Asmaryan.";E
AD;Escape from a Nagorno-Karabakh that bleeds for war;"When refugees are spoken of in Nagorno-Karabakh, it is usually done in feminine. Thousands of women are fleeing every day from villages near the battlefield, where Azerbaijan is targeting and bombing civilian locations day after day. The men, on the other hand, are in charge of grabbing the rifle and waiting in the trench. Adult men, but also young men who, in many cases, barely reach adulthood. The war between Armenia and Azerbaijan over this divided region - according to the map within the domains of Azerbaijan but with an Armenian majority - has not stopped and the conflict has been entrenched for days since the fighting began on September 27. .""They are very discouraged,"" a military official said quietly in Stepanakert, the capital of the unrecognized Artsakh republic, referring to his soldiers, who have suffered airstrikes from a homeless hole. A few days ago, a surgeon at the hospital in this city assured this journalist that he had never seen anything like it in his entire professional career and despite Nagorno-Karabakh having suffered two wars in the last 30 years. “People with mutilated limbs come to us,” he explained.Meanwhile, they, the refugees, have had to carry their children on their shoulders and go down to the Armenian capital, Yerevan, to escape the attacks. There, they wait for the phone to ring to hear the voice, for a few seconds, of their relatives at the front. ""We try to talk to them every day, but we don't even want to know where they are, just by hearing their voice we already know that they are alive and let them continue with their mission,"" says Neli, a school teacher who fled. from his village on September 27, when the first projectiles fell on Nagorno-Karabakh. But he smiles and is optimistic: ""At least here I teach them all the subjects and the neighborhood school will admit them right away.""From an abandoned restaurant in Abovyan, 15 kilometers from Yerevan, she and several women of all ages wait for the war to end. ""On the first day of the offensive we were left alone, all the men marched to the front. We decided to hide in a church, but they started bombing very close. The children kept crying, ""he laments. He also explains that they then went to Stepanakert by bus, but the artillery fell on them. It is not the only story that shows indiscriminate attacks on the civilian population.Nazani, 26, gives a similar testimony. ""I remember it was Sunday morning and bombs started falling. I took my two children and we hid in the woods because the artillery hit civilian locations. Her husband is also at the front and she takes care of the creatures. ""It was impossible to spend the day locked in shelters,"" he says, referring to the state in which they had to live in Stepanakert to protect themselves from attacks. So he joined the convoy of cars made up of volunteers who evacuate dozens of people every day who want to get to Yerevan and other cities in the country.And it is this same volunteering that predominates right now in the lands of Nagorno-Karabakh: ""Here the prices have not been inflated by the war, they have disappeared, everything is free,"" said Hobit, one of the few men who is not at the front. ""I'm too old, they didn't want me, but in 2016 I did. Now I have decided to help in the best way I can: distributing food to all the shelters in Stepanakert ”.No agreementRussia's Foreign Minister Sergei Lavrov said on Wednesday that the Kremlin wants to place Russian military observers on the Nagorno-Karabakh battle front to ensure a fully utopian ceasefire agreed on paper a week ago. . Russia argues that the final decision rests with Armenia and Azerbaijan. And so far, neither side has respected it and civilian casualties have continued to rise. Both parties are accused of breaching the agreement.The figures are staggering: the death toll on the Armenian side is more than 500, although corpses abandoned at the front due to unstoppable fighting have not yet been collected. Therefore, the number of fallen Armenian soldiers - it is speculated - would be much higher. Azerbaijan, on the other hand, does not give figures for military casualties.";E
